Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,86338,2013,9,30,4.9
IDCJAC0016,86338,2013,10,1,11.7
IDCJAC0016,86338,2013,10,2,8.7
IDCJAC0016,86338,2013,10,3,15.7
IDCJAC0016,86338,2013,10,4,22.3
IDCJAC0016,86338,2013,10,5,13.9
IDCJAC0016,86338,2013,10,6,11.9
IDCJAC0016,86338,2013,10,7,21.3
IDCJAC0016,86338,2013,10,8,22.5
IDCJAC0016,86338,2013,10,9,19.9
IDCJAC0016,86338,2013,10,10,2.8
IDCJAC0016,86338,2013,10,11,20.5
IDCJAC0016,86338,2013,10,12,24.1
IDCJAC0016,86338,2013,10,13,10.2
IDCJAC0016,86338,2013,10,14,12.8
IDCJAC0016,86338,2013,10,15,18.3
IDCJAC0016,86338,2013,10,16,16.9
IDCJAC0016,86338,2013,10,17,20
IDCJAC0016,86338,2013,10,18,25.6
IDCJAC0016,86338,2013,10,19,26
IDCJAC0016,86338,2013,10,20,11.8
IDCJAC0016,86338,2013,10,21,3.8
IDCJAC0016,86338,2013,10,22,3.2
IDCJAC0016,86338,2013,10,23,6.4
IDCJAC0016,86338,2013,10,24,17.7
IDCJAC0016,86338,2013,10,25,8.7
IDCJAC0016,86338,2013,10,26,11.4
IDCJAC0016,86338,2013,10,27,18.1
IDCJAC0016,86338,2013,10,28,9.2
IDCJAC0016,86338,2013,10,29,19.6
IDCJAC0016,86338,2013,10,30,15
IDCJAC0016,86338,2013,10,31,20.9
IDCJAC0016,86338,2013,11,1,27.8
IDCJAC0016,86338,2013,11,2,26.1
IDCJAC0016,86338,2013,11,3,21.5
IDCJAC0016,86338,2013,11,4,25.1
IDCJAC0016,86338,2013,11,5,29.1
IDCJAC0016,86338,2013,11,6,29.5
IDCJAC0016,86338,2013,11,7,11.8
IDCJAC0016,86338,2013,11,8,3
IDCJAC0016,86338,2013,11,9,21.5
IDCJAC0016,86338,2013,11,10,20.4
IDCJAC0016,86338,2013,11,11,17
IDCJAC0016,86338,2013,11,12,4.3
IDCJAC0016,86338,2013,11,13,3.4
IDCJAC0016,86338,2013,11,14,11.9
IDCJAC0016,86338,2013,11,15,21.7
IDCJAC0016,86338,2013,11,16,18.3
IDCJAC0016,86338,2013,11,17,30.8
IDCJAC0016,86338,2013,11,18,29.8
IDCJAC0016,86338,2013,11,19,26.8
IDCJAC0016,86338,2013,11,20,9.4
IDCJAC0016,86338,2013,11,21,16.7
IDCJAC0016,86338,2013,11,22,18.4
IDCJAC0016,86338,2013,11,23,19.9
IDCJAC0016,86338,2013,11,24,18.5
IDCJAC0016,86338,2013,11,25,30.5
IDCJAC0016,86338,2013,11,26,27.1
IDCJAC0016,86338,2013,11,27,24.6
IDCJAC0016,86338,2013,11,28,2.1
IDCJAC0016,86338,2013,11,29,17.9
IDCJAC0016,86338,2013,11,30,29.8
IDCJAC0016,86338,2013,12,1,28.3
IDCJAC0016,86338,2013,12,2,30.9
IDCJAC0016,86338,2013,12,3,14.4
IDCJAC0016,86338,2013,12,4,2.8
IDCJAC0016,86338,2013,12,5,12.9
IDCJAC0016,86338,2013,12,6,27.2
IDCJAC0016,86338,2013,12,7,33
IDCJAC0016,86338,2013,12,8,5.4
IDCJAC0016,86338,2013,12,9,2.4
IDCJAC0016,86338,2013,12,10,23
IDCJAC0016,86338,2013,12,11,21.7
IDCJAC0016,86338,2013,12,12,30.9
IDCJAC0016,86338,2013,12,13,13.9
IDCJAC0016,86338,2013,12,14,25.6
IDCJAC0016,86338,2013,12,15,27.8
IDCJAC0016,86338,2013,12,16,26
IDCJAC0016,86338,2013,12,17,22.8
IDCJAC0016,86338,2013,12,18,28.2
IDCJAC0016,86338,2013,12,19,28.7
IDCJAC0016,86338,2013,12,20,29.8
IDCJAC0016,86338,2013,12,21,5.7
IDCJAC0016,86338,2013,12,22,2.9
IDCJAC0016,86338,2013,12,23,9
IDCJAC0016,86338,2013,12,24,32.3
