REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"1999/08/01 00:30",5346.38333,28.29,TRADE
VIC1,"1999/08/01 01:00",5201.475,15.57,TRADE
VIC1,"1999/08/01 01:30",5417.89333,18.72,TRADE
VIC1,"1999/08/01 02:00",5301.78167,15.83,TRADE
VIC1,"1999/08/01 02:30",5082.94,14.25,TRADE
VIC1,"1999/08/01 03:00",4897.08833,14,TRADE
VIC1,"1999/08/01 03:30",4735.07167,12.82,TRADE
VIC1,"1999/08/01 04:00",4574.98667,10.39,TRADE
VIC1,"1999/08/01 04:30",4396.64333,8.22,TRADE
VIC1,"1999/08/01 05:00",4318.86833,8.22,TRADE
VIC1,"1999/08/01 05:30",4211.61167,8.22,TRADE
VIC1,"1999/08/01 06:00",4228.795,8.49,TRADE
VIC1,"1999/08/01 06:30",4229.10333,11.66,TRADE
VIC1,"1999/08/01 07:00",4261.02167,12.13,TRADE
VIC1,"1999/08/01 07:30",4120.805,11.4,TRADE
VIC1,"1999/08/01 08:00",4236.83,13.12,TRADE
VIC1,"1999/08/01 08:30",4434.57167,21.17,TRADE
VIC1,"1999/08/01 09:00",4525.22833,19.12,TRADE
VIC1,"1999/08/01 09:30",4720.95,28.96,TRADE
VIC1,"1999/08/01 10:00",4732.03667,29.45,TRADE
VIC1,"1999/08/01 10:30",4708.20667,23.71,TRADE
VIC1,"1999/08/01 11:00",4686.92667,22.73,TRADE
VIC1,"1999/08/01 11:30",4696.92167,23.56,TRADE
VIC1,"1999/08/01 12:00",4629.18167,23.64,TRADE
VIC1,"1999/08/01 12:30",4653.07667,19.66,TRADE
VIC1,"1999/08/01 13:00",4627.63667,17.78,TRADE
VIC1,"1999/08/01 13:30",4722.58667,19.57,TRADE
VIC1,"1999/08/01 14:00",4652.40667,14.05,TRADE
VIC1,"1999/08/01 14:30",4630.50667,13.87,TRADE
VIC1,"1999/08/01 15:00",4599.95,13.46,TRADE
VIC1,"1999/08/01 15:30",4622.22167,13.78,TRADE
VIC1,"1999/08/01 16:00",4631.15167,14.83,TRADE
VIC1,"1999/08/01 16:30",4671.36,16.95,TRADE
VIC1,"1999/08/01 17:00",4802.88,20.66,TRADE
VIC1,"1999/08/01 17:30",5033.39667,24.01,TRADE
VIC1,"1999/08/01 18:00",5462.22167,36.04,TRADE
VIC1,"1999/08/01 18:30",5670.45833,40.85,TRADE
VIC1,"1999/08/01 19:00",5646.28667,39.34,TRADE
VIC1,"1999/08/01 19:30",5547.005,33.28,TRADE
VIC1,"1999/08/01 20:00",5456.96167,31.34,TRADE
VIC1,"1999/08/01 20:30",5371.14833,31.89,TRADE
VIC1,"1999/08/01 21:00",5304.79,33.93,TRADE
VIC1,"1999/08/01 21:30",5144.8,29.99,TRADE
VIC1,"1999/08/01 22:00",5052.41667,26.57,TRADE
VIC1,"1999/08/01 22:30",4943.76333,27.61,TRADE
VIC1,"1999/08/01 23:00",4888.53333,23.93,TRADE
VIC1,"1999/08/01 23:30",5249.95833,29.26,TRADE
VIC1,"1999/08/02 00:00",5196.26167,25.87,TRADE
VIC1,"1999/08/02 00:30",5146.635,21.3,TRADE
VIC1,"1999/08/02 01:00",5038.26667,16.45,TRADE
VIC1,"1999/08/02 01:30",5386.255,24.71,TRADE
VIC1,"1999/08/02 02:00",5255.985,18.04,TRADE
VIC1,"1999/08/02 02:30",5062.79,14.14,TRADE
VIC1,"1999/08/02 03:00",4904.515,14.6,TRADE
VIC1,"1999/08/02 03:30",4773.09833,13.42,TRADE
VIC1,"1999/08/02 04:00",4661.84,12.4,TRADE
VIC1,"1999/08/02 04:30",4553.515,12.36,TRADE
VIC1,"1999/08/02 05:00",4488.59,12.51,TRADE
VIC1,"1999/08/02 05:30",4581.94667,13.51,TRADE
VIC1,"1999/08/02 06:00",4683.15667,14.52,TRADE
VIC1,"1999/08/02 06:30",5092.93667,20.97,TRADE
VIC1,"1999/08/02 07:00",5471.255,72.7,TRADE
VIC1,"1999/08/02 07:30",5653.60667,34.1,TRADE
VIC1,"1999/08/02 08:00",5933.91333,31.67,TRADE
VIC1,"1999/08/02 08:30",6107.08167,31.94,TRADE
VIC1,"1999/08/02 09:00",6158.12333,27.07,TRADE
VIC1,"1999/08/02 09:30",6193.37167,26.55,TRADE
VIC1,"1999/08/02 10:00",6155.42667,24.98,TRADE
VIC1,"1999/08/02 10:30",6094.265,23.34,TRADE
VIC1,"1999/08/02 11:00",6029.93667,24.33,TRADE
VIC1,"1999/08/02 11:30",6015.77,26.01,TRADE
VIC1,"1999/08/02 12:00",5997.65667,28.61,TRADE
VIC1,"1999/08/02 12:30",5857.49,25.87,TRADE
VIC1,"1999/08/02 13:00",5863.945,27.24,TRADE
VIC1,"1999/08/02 13:30",5996.115,27.98,TRADE
VIC1,"1999/08/02 14:00",5966.18333,22.29,TRADE
VIC1,"1999/08/02 14:30",5944.10833,21.78,TRADE
VIC1,"1999/08/02 15:00",5880.27667,21.07,TRADE
VIC1,"1999/08/02 15:30",5838.57,20.45,TRADE
VIC1,"1999/08/02 16:00",5789.01833,20.4,TRADE
VIC1,"1999/08/02 16:30",5817.93667,21.23,TRADE
VIC1,"1999/08/02 17:00",5864.05167,20.73,TRADE
VIC1,"1999/08/02 17:30",6073.315,27.37,TRADE
VIC1,"1999/08/02 18:00",6432.77667,46.41,TRADE
VIC1,"1999/08/02 18:30",6525.95667,51.8,TRADE
VIC1,"1999/08/02 19:00",6356.53333,38.57,TRADE
VIC1,"1999/08/02 19:30",6171.975,29.96,TRADE
VIC1,"1999/08/02 20:00",5997.47833,23.59,TRADE
VIC1,"1999/08/02 20:30",5910.985,29.03,TRADE
VIC1,"1999/08/02 21:00",5782.20667,30.92,TRADE
VIC1,"1999/08/02 21:30",5657.46333,26.69,TRADE
VIC1,"1999/08/02 22:00",5498.49,22.25,TRADE
VIC1,"1999/08/02 22:30",5322.84667,23.37,TRADE
VIC1,"1999/08/02 23:00",5228.49333,21.04,TRADE
VIC1,"1999/08/02 23:30",5601.915,31.31,TRADE
VIC1,"1999/08/03 00:00",5543.66333,29.3,TRADE
VIC1,"1999/08/03 00:30",5484.89,27.95,TRADE
VIC1,"1999/08/03 01:00",5356.71167,26.13,TRADE
VIC1,"1999/08/03 01:30",5673.62,31.56,TRADE
VIC1,"1999/08/03 02:00",5554.97167,26.8,TRADE
VIC1,"1999/08/03 02:30",5384.735,25.17,TRADE
VIC1,"1999/08/03 03:00",5190.83167,24.14,TRADE
VIC1,"1999/08/03 03:30",5021.89,21.69,TRADE
VIC1,"1999/08/03 04:00",4822.45333,16.92,TRADE
VIC1,"1999/08/03 04:30",4735.95333,14.02,TRADE
VIC1,"1999/08/03 05:00",4665.98667,13.96,TRADE
VIC1,"1999/08/03 05:30",4751.52,19.43,TRADE
VIC1,"1999/08/03 06:00",4897.335,18.26,TRADE
VIC1,"1999/08/03 06:30",5309.68333,29.26,TRADE
VIC1,"1999/08/03 07:00",5671.125,47.89,TRADE
VIC1,"1999/08/03 07:30",5838.45667,30.23,TRADE
VIC1,"1999/08/03 08:00",6126.83833,33.03,TRADE
VIC1,"1999/08/03 08:30",6200.995,33.08,TRADE
VIC1,"1999/08/03 09:00",6177.665,28.5,TRADE
VIC1,"1999/08/03 09:30",6264.535,32.39,TRADE
VIC1,"1999/08/03 10:00",6197.85,33.71,TRADE
VIC1,"1999/08/03 10:30",6104.68667,24.2,TRADE
VIC1,"1999/08/03 11:00",6029.95167,24.75,TRADE
VIC1,"1999/08/03 11:30",5986.06167,21.16,TRADE
VIC1,"1999/08/03 12:00",5943.58833,27.25,TRADE
VIC1,"1999/08/03 12:30",5903.74667,22.44,TRADE
VIC1,"1999/08/03 13:00",5875.27167,26.94,TRADE
VIC1,"1999/08/03 13:30",6005.71333,32.66,TRADE
VIC1,"1999/08/03 14:00",5964.41,23.36,TRADE
VIC1,"1999/08/03 14:30",5946.29833,23.05,TRADE
VIC1,"1999/08/03 15:00",5866.26667,20.65,TRADE
VIC1,"1999/08/03 15:30",5806.48667,20.5,TRADE
VIC1,"1999/08/03 16:00",5791.07667,20.39,TRADE
VIC1,"1999/08/03 16:30",5770.00667,20.27,TRADE
VIC1,"1999/08/03 17:00",5845.22833,20.26,TRADE
VIC1,"1999/08/03 17:30",6024.15833,23.47,TRADE
VIC1,"1999/08/03 18:00",6381.34,35.03,TRADE
VIC1,"1999/08/03 18:30",6486.49167,39.28,TRADE
VIC1,"1999/08/03 19:00",6389.935,34.03,TRADE
VIC1,"1999/08/03 19:30",6208.04833,24.74,TRADE
VIC1,"1999/08/03 20:00",6091.275,25.33,TRADE
VIC1,"1999/08/03 20:30",5999.37,30.02,TRADE
VIC1,"1999/08/03 21:00",5838.795,24.93,TRADE
VIC1,"1999/08/03 21:30",5694.865,19.92,TRADE
VIC1,"1999/08/03 22:00",5567.79333,22.02,TRADE
VIC1,"1999/08/03 22:30",5419.95167,28.48,TRADE
VIC1,"1999/08/03 23:00",5293.23167,20.42,TRADE
VIC1,"1999/08/03 23:30",5668.40333,31.07,TRADE
VIC1,"1999/08/04 00:00",5580.725,26.51,TRADE
VIC1,"1999/08/04 00:30",5513.56667,24.86,TRADE
VIC1,"1999/08/04 01:00",5425.69833,26.71,TRADE
VIC1,"1999/08/04 01:30",5703.295,30.72,TRADE
VIC1,"1999/08/04 02:00",5582.30833,23.12,TRADE
VIC1,"1999/08/04 02:30",5353.275,18.89,TRADE
VIC1,"1999/08/04 03:00",5195.67,21.02,TRADE
VIC1,"1999/08/04 03:30",4990.08167,18.75,TRADE
VIC1,"1999/08/04 04:00",4851.19833,14.02,TRADE
VIC1,"1999/08/04 04:30",4757.315,14.05,TRADE
VIC1,"1999/08/04 05:00",4707.605,14.06,TRADE
VIC1,"1999/08/04 05:30",4791.67667,23.59,TRADE
VIC1,"1999/08/04 06:00",4886.14333,26.56,TRADE
VIC1,"1999/08/04 06:30",5261.96333,29.21,TRADE
VIC1,"1999/08/04 07:00",5703.205,108.89,TRADE
VIC1,"1999/08/04 07:30",5814.245,29.21,TRADE
VIC1,"1999/08/04 08:00",6106.86833,29.98,TRADE
VIC1,"1999/08/04 08:30",6230.57,31.35,TRADE
VIC1,"1999/08/04 09:00",6196.94333,29.47,TRADE
VIC1,"1999/08/04 09:30",6151.775,28.87,TRADE
VIC1,"1999/08/04 10:00",6045.25,26.41,TRADE
VIC1,"1999/08/04 10:30",5981.86,26.51,TRADE
VIC1,"1999/08/04 11:00",5912.66,26.27,TRADE
VIC1,"1999/08/04 11:30",5871.72167,26.61,TRADE
VIC1,"1999/08/04 12:00",5819.14667,27.57,TRADE
VIC1,"1999/08/04 12:30",5765.28,23.92,TRADE
VIC1,"1999/08/04 13:00",5753.33833,22.72,TRADE
VIC1,"1999/08/04 13:30",5848.99,26.25,TRADE
VIC1,"1999/08/04 14:00",5849.145,22.09,TRADE
VIC1,"1999/08/04 14:30",5816.08167,20.4,TRADE
VIC1,"1999/08/04 15:00",5762.37333,20.29,TRADE
VIC1,"1999/08/04 15:30",5724.91167,20.21,TRADE
VIC1,"1999/08/04 16:00",5736.59667,20.24,TRADE
VIC1,"1999/08/04 16:30",5740.35,20.27,TRADE
VIC1,"1999/08/04 17:00",5798.11,20.42,TRADE
VIC1,"1999/08/04 17:30",5992.13167,25.2,TRADE
VIC1,"1999/08/04 18:00",6275.04,33.11,TRADE
VIC1,"1999/08/04 18:30",6425.19667,36.08,TRADE
VIC1,"1999/08/04 19:00",6310.38167,32.84,TRADE
VIC1,"1999/08/04 19:30",6139.155,27.99,TRADE
VIC1,"1999/08/04 20:00",5992.52667,25.86,TRADE
VIC1,"1999/08/04 20:30",5889.04833,25.75,TRADE
VIC1,"1999/08/04 21:00",5753.39,23.39,TRADE
VIC1,"1999/08/04 21:30",5634.23833,21.16,TRADE
VIC1,"1999/08/04 22:00",5517.875,22.36,TRADE
VIC1,"1999/08/04 22:30",5408.24833,29.7,TRADE
