REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"1999/07/01 00:30",5484.24667,46.68,TRADE
VIC1,"1999/07/01 01:00",5291.43,45.95,TRADE
VIC1,"1999/07/01 01:30",5567.15667,45.42,TRADE
VIC1,"1999/07/01 02:00",5430.64,35.62,TRADE
VIC1,"1999/07/01 02:30",5230.595,29.37,TRADE
VIC1,"1999/07/01 03:00",5027.58833,22.51,TRADE
VIC1,"1999/07/01 03:30",4849.175,21.26,TRADE
VIC1,"1999/07/01 04:00",4711.25333,15.33,TRADE
VIC1,"1999/07/01 04:30",4601.29,13.93,TRADE
VIC1,"1999/07/01 05:00",4549.46833,13.88,TRADE
VIC1,"1999/07/01 05:30",4623.50667,13.99,TRADE
VIC1,"1999/07/01 06:00",4788.09167,22.28,TRADE
VIC1,"1999/07/01 06:30",5106.63333,28.4,TRADE
VIC1,"1999/07/01 07:00",5424.435,37.61,TRADE
VIC1,"1999/07/01 07:30",5483.49667,25.54,TRADE
VIC1,"1999/07/01 08:00",5816.31667,44.09,TRADE
VIC1,"1999/07/01 08:30",6060.42333,41.99,TRADE
VIC1,"1999/07/01 09:00",6191.83667,28.37,TRADE
VIC1,"1999/07/01 09:30",6282.02667,39.89,TRADE
VIC1,"1999/07/01 10:00",6274.47,31.4,TRADE
VIC1,"1999/07/01 10:30",6051.035,27.61,TRADE
VIC1,"1999/07/01 11:00",6213.62,38.71,TRADE
VIC1,"1999/07/01 11:30",6141.57167,32.61,TRADE
VIC1,"1999/07/01 12:00",6075.99667,24.88,TRADE
VIC1,"1999/07/01 12:30",6030.15667,28.63,TRADE
VIC1,"1999/07/01 13:00",6006.245,31.92,TRADE
VIC1,"1999/07/01 13:30",6092.265,29.61,TRADE
VIC1,"1999/07/01 14:00",6096.08667,30.63,TRADE
VIC1,"1999/07/01 14:30",6044.10167,32.48,TRADE
VIC1,"1999/07/01 15:00",6031.15,29.93,TRADE
VIC1,"1999/07/01 15:30",5978.45167,30.86,TRADE
VIC1,"1999/07/01 16:00",6005.55667,37.1,TRADE
VIC1,"1999/07/01 16:30",5974.50667,34.9,TRADE
VIC1,"1999/07/01 17:00",6055.565,34.92,TRADE
VIC1,"1999/07/01 17:30",6309.84667,42.34,TRADE
VIC1,"1999/07/01 18:00",6567.69167,48.97,TRADE
VIC1,"1999/07/01 18:30",6490.83667,47.65,TRADE
VIC1,"1999/07/01 19:00",6325.51167,36.31,TRADE
VIC1,"1999/07/01 19:30",6109.84833,31.27,TRADE
VIC1,"1999/07/01 20:00",6007.07333,31.02,TRADE
VIC1,"1999/07/01 20:30",5939.205,42.69,TRADE
VIC1,"1999/07/01 21:00",5834.01167,42.52,TRADE
VIC1,"1999/07/01 21:30",5704.5,33.78,TRADE
VIC1,"1999/07/01 22:00",5557.20833,30.93,TRADE
VIC1,"1999/07/01 22:30",5460.93833,47.18,TRADE
VIC1,"1999/07/01 23:00",5340.08333,37.42,TRADE
VIC1,"1999/07/01 23:30",5735.335,48.44,TRADE
VIC1,"1999/07/02 00:00",5701.95167,48.54,TRADE
VIC1,"1999/07/02 00:30",5601.63667,39.24,TRADE
