REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"1999/02/01 00:30",3803.305,14.18,TRADE
VIC1,"1999/02/01 01:00",3650.61167,13.9,TRADE
VIC1,"1999/02/01 01:30",3969.18667,15.77,TRADE
VIC1,"1999/02/01 02:00",3794.765,13.97,TRADE
VIC1,"1999/02/01 02:30",3572.85333,13.77,TRADE
VIC1,"1999/02/01 03:00",3439.58833,13.22,TRADE
VIC1,"1999/02/01 03:30",3308.815,12.6,TRADE
VIC1,"1999/02/01 04:00",3284.59833,13.17,TRADE
VIC1,"1999/02/01 04:30",3342.175,13.96,TRADE
VIC1,"1999/02/01 05:00",3454.145,14.5,TRADE
VIC1,"1999/02/01 05:30",3750.60167,16.66,TRADE
VIC1,"1999/02/01 06:00",4050.745,18.9,TRADE
VIC1,"1999/02/01 06:30",4488.545,18.53,TRADE
VIC1,"1999/02/01 07:00",4863.47833,19.71,TRADE
VIC1,"1999/02/01 07:30",4766.22333,16.01,TRADE
VIC1,"1999/02/01 08:00",4823.95,17.1,TRADE
VIC1,"1999/02/01 08:30",5002.37667,18.08,TRADE
VIC1,"1999/02/01 09:00",5037.78,17.14,TRADE
VIC1,"1999/02/01 09:30",5149.12833,18.34,TRADE
VIC1,"1999/02/01 10:00",5224.35167,19.15,TRADE
VIC1,"1999/02/01 10:30",5344.70667,19.93,TRADE
VIC1,"1999/02/01 11:00",5392.42833,20.22,TRADE
VIC1,"1999/02/01 11:30",5443.34333,20.62,TRADE
VIC1,"1999/02/01 12:00",5492.88833,20.96,TRADE
VIC1,"1999/02/01 12:30",5614.13167,21.01,TRADE
VIC1,"1999/02/01 13:00",5732.39833,27.33,TRADE
VIC1,"1999/02/01 13:30",5773.195,26.23,TRADE
VIC1,"1999/02/01 14:00",5837.23333,27.11,TRADE
VIC1,"1999/02/01 14:30",5832.59,22.16,TRADE
VIC1,"1999/02/01 15:00",5893.53167,25.56,TRADE
VIC1,"1999/02/01 15:30",6013.52667,31.99,TRADE
VIC1,"1999/02/01 16:00",6042.32667,30.27,TRADE
VIC1,"1999/02/01 16:30",6066.57167,30.27,TRADE
VIC1,"1999/02/01 17:00",5918.00667,25.96,TRADE
VIC1,"1999/02/01 17:30",5671.19333,20.85,TRADE
VIC1,"1999/02/01 18:00",5394.175,17.15,TRADE
VIC1,"1999/02/01 18:30",5175.56333,17.13,TRADE
VIC1,"1999/02/01 19:00",5014.27167,16.56,TRADE
VIC1,"1999/02/01 19:30",4864.94333,16.52,TRADE
VIC1,"1999/02/01 20:00",4860.77833,16.41,TRADE
VIC1,"1999/02/01 20:30",4841.73,16.14,TRADE
VIC1,"1999/02/01 21:00",4721.15833,16.33,TRADE
VIC1,"1999/02/01 21:30",4471.65667,15.21,TRADE
VIC1,"1999/02/01 22:00",4287.805,16.39,TRADE
VIC1,"1999/02/01 22:30",4092.89333,16.74,TRADE
VIC1,"1999/02/01 23:00",4013.70833,15.92,TRADE
VIC1,"1999/02/01 23:30",4473.51167,21.62,TRADE
VIC1,"1999/02/02 00:00",4389.26667,18.7,TRADE
VIC1,"1999/02/02 00:30",4225.99333,18.88,TRADE
VIC1,"1999/02/02 01:00",4044.34333,16.62,TRADE
VIC1,"1999/02/02 01:30",4249.30833,18.8,TRADE
VIC1,"1999/02/02 02:00",4062.74833,16.16,TRADE
VIC1,"1999/02/02 02:30",3889.38333,16.18,TRADE
VIC1,"1999/02/02 03:00",3684.97667,14.37,TRADE
VIC1,"1999/02/02 03:30",3551.45167,13.8,TRADE
VIC1,"1999/02/02 04:00",3482.91167,13.35,TRADE
VIC1,"1999/02/02 04:30",3549.15167,13.52,TRADE
VIC1,"1999/02/02 05:00",3690.82167,15.65,TRADE
VIC1,"1999/02/02 05:30",4034.71833,18.86,TRADE
VIC1,"1999/02/02 06:00",4325.12333,19.3,TRADE
VIC1,"1999/02/02 06:30",4748.52333,18.85,TRADE
VIC1,"1999/02/02 07:00",5093.03333,20.38,TRADE
VIC1,"1999/02/02 07:30",5028.25,19.03,TRADE
VIC1,"1999/02/02 08:00",5072.88333,18.03,TRADE
VIC1,"1999/02/02 08:30",5292.18667,23.47,TRADE
VIC1,"1999/02/02 09:00",5357.115,25.2,TRADE
VIC1,"1999/02/02 09:30",5454.89,25.32,TRADE
VIC1,"1999/02/02 10:00",5511.11,24.43,TRADE
VIC1,"1999/02/02 10:30",5668.17,30.32,TRADE
VIC1,"1999/02/02 11:00",5673.77833,31.7,TRADE
VIC1,"1999/02/02 11:30",5719.91667,33.18,TRADE
VIC1,"1999/02/02 12:00",5794.265,34.05,TRADE
VIC1,"1999/02/02 12:30",5891.87167,41.71,TRADE
VIC1,"1999/02/02 13:00",5984.3,45.38,TRADE
VIC1,"1999/02/02 13:30",6081.86833,51.5,TRADE
VIC1,"1999/02/02 14:00",6160.65,57.51,TRADE
