REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"1999/03/01 00:30",3869.595,13.86,TRADE
VIC1,"1999/03/01 01:00",3687.80333,13.46,TRADE
VIC1,"1999/03/01 01:30",3997.29,14.12,TRADE
VIC1,"1999/03/01 02:00",3832.23667,13.71,TRADE
VIC1,"1999/03/01 02:30",3641.52833,13.05,TRADE
VIC1,"1999/03/01 03:00",3482.47667,12.83,TRADE
VIC1,"1999/03/01 03:30",3361.445,12.21,TRADE
VIC1,"1999/03/01 04:00",3308.42833,10.97,TRADE
VIC1,"1999/03/01 04:30",3354.13167,13.84,TRADE
VIC1,"1999/03/01 05:00",3534.065,14.51,TRADE
VIC1,"1999/03/01 05:30",3891.275,18.31,TRADE
VIC1,"1999/03/01 06:00",4249.595,22.2,TRADE
VIC1,"1999/03/01 06:30",4703.55833,24.2,TRADE
VIC1,"1999/03/01 07:00",4971.14167,22.73,TRADE
VIC1,"1999/03/01 07:30",4845.17333,18.54,TRADE
VIC1,"1999/03/01 08:00",4804.81167,15.36,TRADE
VIC1,"1999/03/01 08:30",4935.515,17.63,TRADE
VIC1,"1999/03/01 09:00",5010.51833,17.97,TRADE
VIC1,"1999/03/01 09:30",5037.21667,17.67,TRADE
VIC1,"1999/03/01 10:00",5192.005,18.54,TRADE
VIC1,"1999/03/01 10:30",5260.365,18.67,TRADE
VIC1,"1999/03/01 11:00",5320.20333,18.72,TRADE
VIC1,"1999/03/01 11:30",5370.91667,18.79,TRADE
VIC1,"1999/03/01 12:00",5394.82167,18.98,TRADE
VIC1,"1999/03/01 12:30",5512.57167,18.18,TRADE
VIC1,"1999/03/01 13:00",5546.02333,18.8,TRADE
VIC1,"1999/03/01 13:30",5620.87167,19.16,TRADE
VIC1,"1999/03/01 14:00",5652.10667,19.46,TRADE
VIC1,"1999/03/01 14:30",5643.10333,17.93,TRADE
VIC1,"1999/03/01 15:00",5693.70167,19.91,TRADE
VIC1,"1999/03/01 15:30",5700.03,19.93,TRADE
VIC1,"1999/03/01 16:00",5736.52667,19.74,TRADE
VIC1,"1999/03/01 16:30",5728.28333,21.15,TRADE
VIC1,"1999/03/01 17:00",5621.88667,18.41,TRADE
VIC1,"1999/03/01 17:30",5352.31,18.12,TRADE
VIC1,"1999/03/01 18:00",5139.765,16.63,TRADE
VIC1,"1999/03/01 18:30",4933.27667,15.06,TRADE
VIC1,"1999/03/01 19:00",4814.34,14.87,TRADE
VIC1,"1999/03/01 19:30",4874.41167,15.4,TRADE
VIC1,"1999/03/01 20:00",4903.35,15.08,TRADE
VIC1,"1999/03/01 20:30",4759.09667,15.23,TRADE
VIC1,"1999/03/01 21:00",4571.90333,14.27,TRADE
VIC1,"1999/03/01 21:30",4364.965,14.21,TRADE
VIC1,"1999/03/01 22:00",4086.055,14.02,TRADE
VIC1,"1999/03/01 22:30",4010.52667,14.81,TRADE
VIC1,"1999/03/01 23:00",3932.63333,14.39,TRADE
VIC1,"1999/03/01 23:30",4462.67167,17.3,TRADE
VIC1,"1999/03/02 00:00",4393.31833,17.97,TRADE
VIC1,"1999/03/02 00:30",4226.13333,16.71,TRADE
VIC1,"1999/03/02 01:00",3989.96667,14.44,TRADE
VIC1,"1999/03/02 01:30",4265.19667,16.63,TRADE
VIC1,"1999/03/02 02:00",4092.15667,14.5,TRADE
VIC1,"1999/03/02 02:30",3892.07667,14.35,TRADE
VIC1,"1999/03/02 03:00",3681.395,14.06,TRADE
VIC1,"1999/03/02 03:30",3599.93,14.02,TRADE
VIC1,"1999/03/02 04:00",3522.39167,14.02,TRADE
VIC1,"1999/03/02 04:30",3557.18167,13.95,TRADE
VIC1,"1999/03/02 05:00",3706.205,14.52,TRADE
VIC1,"1999/03/02 05:30",4072.90167,18.7,TRADE
VIC1,"1999/03/02 06:00",4448.71333,21.92,TRADE
VIC1,"1999/03/02 06:30",4851.36,19.26,TRADE
VIC1,"1999/03/02 07:00",5137.33167,18.17,TRADE
VIC1,"1999/03/02 07:30",4980.155,14.92,TRADE
VIC1,"1999/03/02 08:00",4954.00833,14.56,TRADE
VIC1,"1999/03/02 08:30",5090.00833,17.77,TRADE
VIC1,"1999/03/02 09:00",5164.24167,17.92,TRADE
VIC1,"1999/03/02 09:30",5201.115,18.19,TRADE
VIC1,"1999/03/02 10:00",5316.21,18.41,TRADE
VIC1,"1999/03/02 10:30",5271.90833,18.04,TRADE
VIC1,"1999/03/02 11:00",5323.49333,18.24,TRADE
VIC1,"1999/03/02 11:30",5265.755,18.08,TRADE
VIC1,"1999/03/02 12:00",5205.97667,17.86,TRADE
VIC1,"1999/03/02 12:30",5145.84833,16.14,TRADE
VIC1,"1999/03/02 13:00",5208.27833,16.72,TRADE
VIC1,"1999/03/02 13:30",5320.48,18.58,TRADE
VIC1,"1999/03/02 14:00",5280.51,18.52,TRADE
VIC1,"1999/03/02 14:30",5218.85833,18.37,TRADE
VIC1,"1999/03/02 15:00",5123.615,18.12,TRADE
VIC1,"1999/03/02 15:30",5215.28,18.45,TRADE
VIC1,"1999/03/02 16:00",5237.76833,24.54,TRADE
VIC1,"1999/03/02 16:30",5188.41167,24.94,TRADE
VIC1,"1999/03/02 17:00",5111.605,19.69,TRADE
VIC1,"1999/03/02 17:30",4865.60167,18.17,TRADE
VIC1,"1999/03/02 18:00",4676.705,17.33,TRADE
VIC1,"1999/03/02 18:30",4482.90167,14.55,TRADE
VIC1,"1999/03/02 19:00",4385.435,14.58,TRADE
VIC1,"1999/03/02 19:30",4438.395,14.96,TRADE
VIC1,"1999/03/02 20:00",4486.73833,15.84,TRADE
VIC1,"1999/03/02 20:30",4356.605,14.88,TRADE
VIC1,"1999/03/02 21:00",4237.26333,14.42,TRADE
VIC1,"1999/03/02 21:30",4082.99333,15.55,TRADE
VIC1,"1999/03/02 22:00",3934.74333,15.36,TRADE
VIC1,"1999/03/02 22:30",3816.61167,14.72,TRADE
VIC1,"1999/03/02 23:00",3766.425,14.58,TRADE
VIC1,"1999/03/02 23:30",4266.87,19.14,TRADE
VIC1,"1999/03/03 00:00",4224.35833,16.53,TRADE
VIC1,"1999/03/03 00:30",4093.75,15.75,TRADE
VIC1,"1999/03/03 01:00",3895.325,14.61,TRADE
VIC1,"1999/03/03 01:30",4177.45333,16.2,TRADE
VIC1,"1999/03/03 02:00",3983.84833,15.3,TRADE
VIC1,"1999/03/03 02:30",3776.10333,14.24,TRADE
VIC1,"1999/03/03 03:00",3524.08333,14.02,TRADE
VIC1,"1999/03/03 03:30",3425.35667,14.02,TRADE
VIC1,"1999/03/03 04:00",3344.83833,13.65,TRADE
VIC1,"1999/03/03 04:30",3420.97667,13.87,TRADE
VIC1,"1999/03/03 05:00",3595.04833,14.7,TRADE
VIC1,"1999/03/03 05:30",3928.10333,18.05,TRADE
VIC1,"1999/03/03 06:00",4296.915,21.11,TRADE
VIC1,"1999/03/03 06:30",4650.74167,19.23,TRADE
VIC1,"1999/03/03 07:00",4979.57333,23.41,TRADE
VIC1,"1999/03/03 07:30",4737.15667,16.05,TRADE
VIC1,"1999/03/03 08:00",4740.04,15.9,TRADE
VIC1,"1999/03/03 08:30",4822.625,17.76,TRADE
VIC1,"1999/03/03 09:00",4890.93167,18.89,TRADE
VIC1,"1999/03/03 09:30",4951.67,18.25,TRADE
VIC1,"1999/03/03 10:00",5077.58,22.24,TRADE
VIC1,"1999/03/03 10:30",5114.06167,22.27,TRADE
VIC1,"1999/03/03 11:00",5176.56667,25.57,TRADE
VIC1,"1999/03/03 11:30",5183.54333,24.38,TRADE
VIC1,"1999/03/03 12:00",5202.42333,20.47,TRADE
VIC1,"1999/03/03 12:30",5313.32167,26.98,TRADE
VIC1,"1999/03/03 13:00",5352.84667,27.54,TRADE
VIC1,"1999/03/03 13:30",5437.07667,30.77,TRADE
VIC1,"1999/03/03 14:00",5521.435,35.87,TRADE
VIC1,"1999/03/03 14:30",5447.46667,31.96,TRADE
VIC1,"1999/03/03 15:00",5548.91,36.6,TRADE
VIC1,"1999/03/03 15:30",5586.87667,45.31,TRADE
VIC1,"1999/03/03 16:00",5597.12833,33.01,TRADE
VIC1,"1999/03/03 16:30",5556.93667,27.55,TRADE
VIC1,"1999/03/03 17:00",5488.01,30.64,TRADE
VIC1,"1999/03/03 17:30",5214.18333,27.85,TRADE
VIC1,"1999/03/03 18:00",4923.25,21.68,TRADE
VIC1,"1999/03/03 18:30",4709.50333,18,TRADE
VIC1,"1999/03/03 19:00",4606.81333,17.79,TRADE
VIC1,"1999/03/03 19:30",4677.39333,18.03,TRADE
VIC1,"1999/03/03 20:00",4669.29833,18.55,TRADE
VIC1,"1999/03/03 20:30",4514.67,18.14,TRADE
VIC1,"1999/03/03 21:00",4364.675,16.02,TRADE
VIC1,"1999/03/03 21:30",4193.75,17.82,TRADE
VIC1,"1999/03/03 22:00",4043.72333,18.17,TRADE
VIC1,"1999/03/03 22:30",3916.03833,19.02,TRADE
VIC1,"1999/03/03 23:00",3850.60667,16.44,TRADE
VIC1,"1999/03/03 23:30",4374.04167,23.33,TRADE
VIC1,"1999/03/04 00:00",4309.88167,19.19,TRADE
VIC1,"1999/03/04 00:30",4120.31,16.47,TRADE
VIC1,"1999/03/04 01:00",3945.94333,14.25,TRADE
VIC1,"1999/03/04 01:30",4225.44833,17.24,TRADE
VIC1,"1999/03/04 02:00",4088.39333,15.13,TRADE
VIC1,"1999/03/04 02:30",3833.335,14.12,TRADE
VIC1,"1999/03/04 03:00",3648.81,14.01,TRADE
VIC1,"1999/03/04 03:30",3483.01833,13.75,TRADE
VIC1,"1999/03/04 04:00",3481.57333,14.01,TRADE
VIC1,"1999/03/04 04:30",3517.22,14.03,TRADE
VIC1,"1999/03/04 05:00",3671,14.22,TRADE
VIC1,"1999/03/04 05:30",4022.47833,16.67,TRADE
VIC1,"1999/03/04 06:00",4391.11667,22.33,TRADE
VIC1,"1999/03/04 06:30",4822.56,18.58,TRADE
VIC1,"1999/03/04 07:00",5174.84,17.59,TRADE
VIC1,"1999/03/04 07:30",4968.005,14.86,TRADE
VIC1,"1999/03/04 08:00",4977.97333,15.89,TRADE
VIC1,"1999/03/04 08:30",4993.77833,18.46,TRADE
VIC1,"1999/03/04 09:00",4982.06167,19.77,TRADE
VIC1,"1999/03/04 09:30",5027.80167,19.66,TRADE
VIC1,"1999/03/04 10:00",5023.43833,19.53,TRADE
VIC1,"1999/03/04 10:30",5024.61833,21.16,TRADE
VIC1,"1999/03/04 11:00",5075.07,27.72,TRADE
VIC1,"1999/03/04 11:30",5070.88667,28.32,TRADE
VIC1,"1999/03/04 12:00",5076.305,29.31,TRADE
VIC1,"1999/03/04 12:30",5083.66333,32.82,TRADE
VIC1,"1999/03/04 13:00",5188.925,43.17,TRADE
VIC1,"1999/03/04 13:30",5185.10167,42.63,TRADE
VIC1,"1999/03/04 14:00",5126.13,35.61,TRADE
VIC1,"1999/03/04 14:30",5100.00333,36.47,TRADE
VIC1,"1999/03/04 15:00",5089.55,37.28,TRADE
VIC1,"1999/03/04 15:30",5076.51167,36.74,TRADE
VIC1,"1999/03/04 16:00",5098.72333,40.04,TRADE
VIC1,"1999/03/04 16:30",5038.04667,39.22,TRADE
VIC1,"1999/03/04 17:00",5023.85333,40.61,TRADE
VIC1,"1999/03/04 17:30",4779.795,27.02,TRADE
VIC1,"1999/03/04 18:00",4580.05,20.4,TRADE
VIC1,"1999/03/04 18:30",4417.72833,17.47,TRADE
VIC1,"1999/03/04 19:00",4364.93833,17.05,TRADE
VIC1,"1999/03/04 19:30",4462.83333,17.47,TRADE
VIC1,"1999/03/04 20:00",4520.17667,18.72,TRADE
VIC1,"1999/03/04 20:30",4375.91333,17.09,TRADE
VIC1,"1999/03/04 21:00",4229.25167,15.24,TRADE
VIC1,"1999/03/04 21:30",4067.09833,17.44,TRADE
VIC1,"1999/03/04 22:00",3921.71167,17.21,TRADE
VIC1,"1999/03/04 22:30",3818.585,17.77,TRADE
VIC1,"1999/03/04 23:00",3749.99333,15.8,TRADE
VIC1,"1999/03/04 23:30",4305.99333,26.09,TRADE
VIC1,"1999/03/05 00:00",4253.69667,20.84,TRADE
VIC1,"1999/03/05 00:30",4065.805,16.02,TRADE
VIC1,"1999/03/05 01:00",3854.775,14.2,TRADE
VIC1,"1999/03/05 01:30",4148.39,17.32,TRADE
VIC1,"1999/03/05 02:00",3983.65667,14.37,TRADE
VIC1,"1999/03/05 02:30",3738.16333,14.09,TRADE
VIC1,"1999/03/05 03:00",3534.10333,13.81,TRADE
VIC1,"1999/03/05 03:30",3402.69333,13.49,TRADE
VIC1,"1999/03/05 04:00",3365.2,13.75,TRADE
VIC1,"1999/03/05 04:30",3432.38,14.02,TRADE
VIC1,"1999/03/05 05:00",3585.02167,14.03,TRADE
VIC1,"1999/03/05 05:30",3910.80167,20.46,TRADE
VIC1,"1999/03/05 06:00",4297.88333,22.09,TRADE
VIC1,"1999/03/05 06:30",4635.325,18.97,TRADE
VIC1,"1999/03/05 07:00",4974.86833,19.12,TRADE
VIC1,"1999/03/05 07:30",4712.47667,15.32,TRADE
VIC1,"1999/03/05 08:00",4719.63833,15.54,TRADE
VIC1,"1999/03/05 08:30",4762.905,17.2,TRADE
VIC1,"1999/03/05 09:00",4768.76833,17.5,TRADE
VIC1,"1999/03/05 09:30",4797.71,17.15,TRADE
VIC1,"1999/03/05 10:00",4871.04833,17.44,TRADE
VIC1,"1999/03/05 10:30",4871.43,17.58,TRADE
VIC1,"1999/03/05 11:00",4927.12167,17.97,TRADE
VIC1,"1999/03/05 11:30",4905.27833,17.66,TRADE
VIC1,"1999/03/05 12:00",4893.91667,17.57,TRADE
VIC1,"1999/03/05 12:30",4924.63833,17.68,TRADE
VIC1,"1999/03/05 13:00",4926.21667,17.67,TRADE
VIC1,"1999/03/05 13:30",4930.94667,18.15,TRADE
VIC1,"1999/03/05 14:00",4982.79167,19.96,TRADE
VIC1,"1999/03/05 14:30",4880.295,18.08,TRADE
VIC1,"1999/03/05 15:00",4823.29667,17.89,TRADE
VIC1,"1999/03/05 15:30",4929.19667,21.48,TRADE
VIC1,"1999/03/05 16:00",4954.68,28.07,TRADE
VIC1,"1999/03/05 16:30",4949.49333,29.29,TRADE
VIC1,"1999/03/05 17:00",4839.165,23.17,TRADE
VIC1,"1999/03/05 17:30",4679.09333,18.1,TRADE
VIC1,"1999/03/05 18:00",4468.255,15.52,TRADE
VIC1,"1999/03/05 18:30",4307.14667,14.64,TRADE
VIC1,"1999/03/05 19:00",4221.93667,14.62,TRADE
VIC1,"1999/03/05 19:30",4356.21667,15.95,TRADE
VIC1,"1999/03/05 20:00",4405.02167,16.45,TRADE
VIC1,"1999/03/05 20:30",4256.45333,15.65,TRADE
VIC1,"1999/03/05 21:00",4116.32333,14.39,TRADE
VIC1,"1999/03/05 21:30",3954.35333,16.76,TRADE
VIC1,"1999/03/05 22:00",3866.35167,15.52,TRADE
VIC1,"1999/03/05 22:30",3790.24833,16.59,TRADE
VIC1,"1999/03/05 23:00",3768.905,15.86,TRADE
VIC1,"1999/03/05 23:30",4270.11167,19.02,TRADE
VIC1,"1999/03/06 00:00",4200.43333,17.45,TRADE
VIC1,"1999/03/06 00:30",4016.3,15.28,TRADE
VIC1,"1999/03/06 01:00",3816.24667,15.1,TRADE
VIC1,"1999/03/06 01:30",4114.85833,17.35,TRADE
VIC1,"1999/03/06 02:00",3918.38667,15.34,TRADE
VIC1,"1999/03/06 02:30",3677.315,14.24,TRADE
VIC1,"1999/03/06 03:00",3473.09667,14.02,TRADE
VIC1,"1999/03/06 03:30",3332.88167,13.71,TRADE
VIC1,"1999/03/06 04:00",3262.18833,13.58,TRADE
VIC1,"1999/03/06 04:30",3269.01,12.45,TRADE
VIC1,"1999/03/06 05:00",3323.03,12.63,TRADE
VIC1,"1999/03/06 05:30",3395.85,8.65,TRADE
VIC1,"1999/03/06 06:00",3515.60333,12.12,TRADE
VIC1,"1999/03/06 06:30",3609.44,12.13,TRADE
VIC1,"1999/03/06 07:00",3767.02333,12.73,TRADE
VIC1,"1999/03/06 07:30",3745.85,12.49,TRADE
VIC1,"1999/03/06 08:00",3843.155,13.58,TRADE
VIC1,"1999/03/06 08:30",3987.21333,14.17,TRADE
VIC1,"1999/03/06 09:00",4037.945,14.12,TRADE
VIC1,"1999/03/06 09:30",4136.64333,17.37,TRADE
VIC1,"1999/03/06 10:00",4132.53833,17.58,TRADE
VIC1,"1999/03/06 10:30",4170.565,15.37,TRADE
VIC1,"1999/03/06 11:00",4189.69833,14.87,TRADE
VIC1,"1999/03/06 11:30",4231.34167,16.08,TRADE
VIC1,"1999/03/06 12:00",4261.74,17.5,TRADE
VIC1,"1999/03/06 12:30",4224.09167,17.47,TRADE
VIC1,"1999/03/06 13:00",4148.57667,17.14,TRADE
VIC1,"1999/03/06 13:30",4161.30667,17.18,TRADE
VIC1,"1999/03/06 14:00",4116.06333,16.86,TRADE
VIC1,"1999/03/06 14:30",4091.61667,17.57,TRADE
VIC1,"1999/03/06 15:00",3991.75333,17.48,TRADE
VIC1,"1999/03/06 15:30",3982.21333,17.48,TRADE
VIC1,"1999/03/06 16:00",3992.35667,17.49,TRADE
VIC1,"1999/03/06 16:30",3963.67,16.85,TRADE
VIC1,"1999/03/06 17:00",3978.12,16.94,TRADE
VIC1,"1999/03/06 17:30",3978.84333,16.85,TRADE
VIC1,"1999/03/06 18:00",3902.24833,16.85,TRADE
VIC1,"1999/03/06 18:30",3879.88667,16.14,TRADE
VIC1,"1999/03/06 19:00",3890.32167,16.24,TRADE
VIC1,"1999/03/06 19:30",3983.49167,17.08,TRADE
VIC1,"1999/03/06 20:00",3972.73,17.05,TRADE
VIC1,"1999/03/06 20:30",3883.12333,16.85,TRADE
VIC1,"1999/03/06 21:00",3807.315,14.69,TRADE
VIC1,"1999/03/06 21:30",3700.82,13.97,TRADE
VIC1,"1999/03/06 22:00",3587.89333,14.04,TRADE
VIC1,"1999/03/06 22:30",3601.84833,14.06,TRADE
VIC1,"1999/03/06 23:00",3571.02833,14.02,TRADE
VIC1,"1999/03/06 23:30",3972.42167,15.75,TRADE
VIC1,"1999/03/07 00:00",3930.38,14.28,TRADE
VIC1,"1999/03/07 00:30",3811.98167,13.83,TRADE
VIC1,"1999/03/07 01:00",3656.33167,13.44,TRADE
VIC1,"1999/03/07 01:30",3886.71,14.13,TRADE
VIC1,"1999/03/07 02:00",3736.285,13.53,TRADE
VIC1,"1999/03/07 02:30",3553.05833,12.81,TRADE
VIC1,"1999/03/07 03:00",3355.09667,12.2,TRADE
VIC1,"1999/03/07 03:30",3222.93167,12.12,TRADE
VIC1,"1999/03/07 04:00",3133.14833,12.12,TRADE
VIC1,"1999/03/07 04:30",3098.67833,12.12,TRADE
VIC1,"1999/03/07 05:00",3116.83167,12.12,TRADE
VIC1,"1999/03/07 05:30",3132.16667,11.01,TRADE
VIC1,"1999/03/07 06:00",3151.28667,10.09,TRADE
VIC1,"1999/03/07 06:30",3228.295,11.24,TRADE
VIC1,"1999/03/07 07:00",3358.435,12.68,TRADE
VIC1,"1999/03/07 07:30",3364.30167,12.57,TRADE
VIC1,"1999/03/07 08:00",3386.00833,12.99,TRADE
VIC1,"1999/03/07 08:30",3478,13.79,TRADE
VIC1,"1999/03/07 09:00",3495.71667,13.68,TRADE
VIC1,"1999/03/07 09:30",3550.85833,13.7,TRADE
VIC1,"1999/03/07 10:00",3541.605,12.95,TRADE
VIC1,"1999/03/07 10:30",3584.09667,13.02,TRADE
VIC1,"1999/03/07 11:00",3574.73667,13.04,TRADE
VIC1,"1999/03/07 11:30",3569.65667,13.06,TRADE
VIC1,"1999/03/07 12:00",3563.78333,12.97,TRADE
VIC1,"1999/03/07 12:30",3556.99833,12.97,TRADE
VIC1,"1999/03/07 13:00",3544.29333,12.97,TRADE
VIC1,"1999/03/07 13:30",3509.65833,12.95,TRADE
VIC1,"1999/03/07 14:00",3499.89667,12.97,TRADE
VIC1,"1999/03/07 14:30",3466.34333,12.97,TRADE
VIC1,"1999/03/07 15:00",3475.625,12.97,TRADE
VIC1,"1999/03/07 15:30",3485.95667,12.99,TRADE
VIC1,"1999/03/07 16:00",3495.55667,12.99,TRADE
VIC1,"1999/03/07 16:30",3579.15167,13.12,TRADE
VIC1,"1999/03/07 17:00",3599.935,13.65,TRADE
VIC1,"1999/03/07 17:30",3614.53,13.52,TRADE
VIC1,"1999/03/07 18:00",3547.95333,13.32,TRADE
VIC1,"1999/03/07 18:30",3504.335,13.35,TRADE
VIC1,"1999/03/07 19:00",3510.93333,13.42,TRADE
VIC1,"1999/03/07 19:30",3624.51167,13.81,TRADE
VIC1,"1999/03/07 20:00",3731.82,13.7,TRADE
VIC1,"1999/03/07 20:30",3573.95,13.39,TRADE
VIC1,"1999/03/07 21:00",3553.845,13.17,TRADE
VIC1,"1999/03/07 21:30",3438.19333,12.95,TRADE
VIC1,"1999/03/07 22:00",3386.79667,12.79,TRADE
VIC1,"1999/03/07 22:30",3385.95333,12.84,TRADE
VIC1,"1999/03/07 23:00",3367.77333,12.66,TRADE
VIC1,"1999/03/07 23:30",3752.67833,13.49,TRADE
VIC1,"1999/03/08 00:00",3770.91,13.2,TRADE
VIC1,"1999/03/08 00:30",3636.86833,12.97,TRADE
VIC1,"1999/03/08 01:00",3493.83333,12.35,TRADE
VIC1,"1999/03/08 01:30",3784.46167,13.76,TRADE
VIC1,"1999/03/08 02:00",3624.96333,12.81,TRADE
VIC1,"1999/03/08 02:30",3412.66333,11.76,TRADE
VIC1,"1999/03/08 03:00",3215.72833,11.8,TRADE
VIC1,"1999/03/08 03:30",3088.34667,8.68,TRADE
VIC1,"1999/03/08 04:00",2988.34,8.55,TRADE
VIC1,"1999/03/08 04:30",2956.595,11.32,TRADE
VIC1,"1999/03/08 05:00",3016.20833,12.12,TRADE
VIC1,"1999/03/08 05:30",3180.66,12.35,TRADE
VIC1,"1999/03/08 06:00",3194.62,12.32,TRADE
VIC1,"1999/03/08 06:30",3337.07833,12.65,TRADE
VIC1,"1999/03/08 07:00",3384.69,12.47,TRADE
VIC1,"1999/03/08 07:30",3274.10333,12.2,TRADE
VIC1,"1999/03/08 08:00",3301.095,12.57,TRADE
VIC1,"1999/03/08 08:30",3459.04667,14.35,TRADE
VIC1,"1999/03/08 09:00",3454.385,13.82,TRADE
VIC1,"1999/03/08 09:30",3538.44833,13.79,TRADE
VIC1,"1999/03/08 10:00",3593.23,13.73,TRADE
VIC1,"1999/03/08 10:30",3632.51833,13.94,TRADE
VIC1,"1999/03/08 11:00",3634.86333,13.58,TRADE
VIC1,"1999/03/08 11:30",3662.11,13.59,TRADE
VIC1,"1999/03/08 12:00",3667.38333,13.52,TRADE
VIC1,"1999/03/08 12:30",3693.155,13.48,TRADE
VIC1,"1999/03/08 13:00",3682.47333,13.01,TRADE
VIC1,"1999/03/08 13:30",3703.34667,13.22,TRADE
VIC1,"1999/03/08 14:00",3684.74333,12.9,TRADE
VIC1,"1999/03/08 14:30",3735.29333,12.87,TRADE
VIC1,"1999/03/08 15:00",3748.50333,13.07,TRADE
VIC1,"1999/03/08 15:30",3794.99,13.04,TRADE
VIC1,"1999/03/08 16:00",3869.655,13.41,TRADE
VIC1,"1999/03/08 16:30",3903.10333,13.31,TRADE
VIC1,"1999/03/08 17:00",3929.47667,13.54,TRADE
VIC1,"1999/03/08 17:30",3867.57,12.88,TRADE
VIC1,"1999/03/08 18:00",3829.265,12.21,TRADE
VIC1,"1999/03/08 18:30",3730.495,12.29,TRADE
VIC1,"1999/03/08 19:00",3676.31667,12.66,TRADE
VIC1,"1999/03/08 19:30",3824.96833,12.95,TRADE
VIC1,"1999/03/08 20:00",3887.63167,13.15,TRADE
VIC1,"1999/03/08 20:30",3803.97667,13.06,TRADE
VIC1,"1999/03/08 21:00",3641.985,12.3,TRADE
VIC1,"1999/03/08 21:30",3547.25,12.96,TRADE
VIC1,"1999/03/08 22:00",3384.02167,12.64,TRADE
VIC1,"1999/03/08 22:30",3319.82167,12.4,TRADE
VIC1,"1999/03/08 23:00",3328.94167,12.42,TRADE
VIC1,"1999/03/08 23:30",3940.44833,14.85,TRADE
VIC1,"1999/03/09 00:00",3958.25333,14.27,TRADE
VIC1,"1999/03/09 00:30",3843.47333,13.8,TRADE
VIC1,"1999/03/09 01:00",3679.22167,13.44,TRADE
VIC1,"1999/03/09 01:30",3970.49167,14.24,TRADE
VIC1,"1999/03/09 02:00",3832.315,13.57,TRADE
VIC1,"1999/03/09 02:30",3640.03833,12.87,TRADE
VIC1,"1999/03/09 03:00",3459.87333,12.19,TRADE
VIC1,"1999/03/09 03:30",3313.435,11.44,TRADE
VIC1,"1999/03/09 04:00",3279.63167,12.12,TRADE
VIC1,"1999/03/09 04:30",3260.05667,13.75,TRADE
VIC1,"1999/03/09 05:00",3345.75833,14.06,TRADE
VIC1,"1999/03/09 05:30",3754.30167,16.95,TRADE
VIC1,"1999/03/09 06:00",4079.85,16.71,TRADE
VIC1,"1999/03/09 06:30",4487.40167,16.08,TRADE
VIC1,"1999/03/09 07:00",4797.05667,17.23,TRADE
VIC1,"1999/03/09 07:30",4647.26667,14.63,TRADE
VIC1,"1999/03/09 08:00",4633.17667,14.59,TRADE
