REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"1999/04/01 00:30",4290.42,14.99,TRADE
VIC1,"1999/04/01 01:00",4151.67,14.75,TRADE
VIC1,"1999/04/01 01:30",4429.56,19.64,TRADE
VIC1,"1999/04/01 02:00",4259.87333,20.37,TRADE
VIC1,"1999/04/01 02:30",4037.755,18.31,TRADE
VIC1,"1999/04/01 03:00",3831.39,16.43,TRADE
VIC1,"1999/04/01 03:30",3651.07833,14.24,TRADE
VIC1,"1999/04/01 04:00",3520.885,14.16,TRADE
VIC1,"1999/04/01 04:30",3462.15167,14.26,TRADE
VIC1,"1999/04/01 05:00",3443.04667,15.05,TRADE
VIC1,"1999/04/01 05:30",3495.03167,17.39,TRADE
VIC1,"1999/04/01 06:00",3681.94,21.18,TRADE
VIC1,"1999/04/01 06:30",4014.69167,31.44,TRADE
VIC1,"1999/04/01 07:00",4245.815,26.25,TRADE
VIC1,"1999/04/01 07:30",4302.78167,16.79,TRADE
VIC1,"1999/04/01 08:00",4544.085,19.7,TRADE
VIC1,"1999/04/01 08:30",4709.125,17.19,TRADE
VIC1,"1999/04/01 09:00",4690.84,16.37,TRADE
VIC1,"1999/04/01 09:30",4686.76,16.48,TRADE
VIC1,"1999/04/01 10:00",4611.32,16.26,TRADE
VIC1,"1999/04/01 10:30",4659.625,16,TRADE
VIC1,"1999/04/01 11:00",4602.525,15.45,TRADE
VIC1,"1999/04/01 11:30",4633.64167,16.61,TRADE
VIC1,"1999/04/01 12:00",4593.16833,16.58,TRADE
VIC1,"1999/04/01 12:30",4580.35,16.5,TRADE
VIC1,"1999/04/01 13:00",4560.15667,16.6,TRADE
VIC1,"1999/04/01 13:30",4504.72667,16.21,TRADE
VIC1,"1999/04/01 14:00",4520.83167,16.17,TRADE
VIC1,"1999/04/01 14:30",4455.30333,14.77,TRADE
VIC1,"1999/04/01 15:00",4392.80333,14.16,TRADE
VIC1,"1999/04/01 15:30",4378.52167,14.05,TRADE
VIC1,"1999/04/01 16:00",4335.57667,14.26,TRADE
VIC1,"1999/04/01 16:30",4303.89,14.3,TRADE
VIC1,"1999/04/01 17:00",4309.74167,14.2,TRADE
VIC1,"1999/04/01 17:30",4358.035,14.32,TRADE
VIC1,"1999/04/01 18:00",4446.17,18.8,TRADE
VIC1,"1999/04/01 18:30",4512.19167,23.12,TRADE
VIC1,"1999/04/01 19:00",4632.58667,21.98,TRADE
VIC1,"1999/04/01 19:30",4555.73167,16.32,TRADE
VIC1,"1999/04/01 20:00",4437.46667,14.32,TRADE
VIC1,"1999/04/01 20:30",4315.24833,14.05,TRADE
VIC1,"1999/04/01 21:00",4213.53333,14.04,TRADE
VIC1,"1999/04/01 21:30",4078.88167,14.03,TRADE
VIC1,"1999/04/01 22:00",3882.785,14.02,TRADE
VIC1,"1999/04/01 22:30",3910.62833,24.24,TRADE
VIC1,"1999/04/01 23:00",3837.85833,26.39,TRADE
VIC1,"1999/04/01 23:30",4311.675,32.81,TRADE
VIC1,"1999/04/02 00:00",4257.65167,29.43,TRADE
VIC1,"1999/04/02 00:30",4044.40833,26.08,TRADE
VIC1,"1999/04/02 01:00",3853.52167,25.4,TRADE
VIC1,"1999/04/02 01:30",4111.575,26.39,TRADE
VIC1,"1999/04/02 02:00",3931.19,25.34,TRADE
VIC1,"1999/04/02 02:30",3692.91167,23.38,TRADE
VIC1,"1999/04/02 03:00",3489.63333,18,TRADE
VIC1,"1999/04/02 03:30",3271.42333,14.03,TRADE
VIC1,"1999/04/02 04:00",3131.06833,13.38,TRADE
VIC1,"1999/04/02 04:30",3060.60667,11.02,TRADE
VIC1,"1999/04/02 05:00",2957.09,10.06,TRADE
VIC1,"1999/04/02 05:30",2955.44167,11.26,TRADE
VIC1,"1999/04/02 06:00",2944.53833,10.22,TRADE
VIC1,"1999/04/02 06:30",2971.38833,10.82,TRADE
VIC1,"1999/04/02 07:00",2970.965,10.46,TRADE
VIC1,"1999/04/02 07:30",2826.48,9.51,TRADE
VIC1,"1999/04/02 08:00",2932.01167,11.6,TRADE
VIC1,"1999/04/02 08:30",3023.14333,12.12,TRADE
VIC1,"1999/04/02 09:00",3130.965,12.27,TRADE
VIC1,"1999/04/02 09:30",3206.20333,14.15,TRADE
VIC1,"1999/04/02 10:00",3267.16167,14.95,TRADE
VIC1,"1999/04/02 10:30",3291.88667,20.14,TRADE
VIC1,"1999/04/02 11:00",3262.93833,18.68,TRADE
VIC1,"1999/04/02 11:30",3257.03667,18.45,TRADE
VIC1,"1999/04/02 12:00",3268.845,18.55,TRADE
VIC1,"1999/04/02 12:30",3307.30667,18.78,TRADE
VIC1,"1999/04/02 13:00",3282.20667,16.56,TRADE
VIC1,"1999/04/02 13:30",3238.92667,15.19,TRADE
