REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"1999/11/01 00:30",4658.07,13.34,TRADE
VIC1,"1999/11/01 01:00",4583.87667,13.09,TRADE
VIC1,"1999/11/01 01:30",4912.05,13.85,TRADE
VIC1,"1999/11/01 02:00",4801.75667,13.65,TRADE
VIC1,"1999/11/01 02:30",4648.61667,13.41,TRADE
VIC1,"1999/11/01 03:00",4458.90667,13.22,TRADE
VIC1,"1999/11/01 03:30",4328.24,12.95,TRADE
VIC1,"1999/11/01 04:00",4223.32833,12.59,TRADE
VIC1,"1999/11/01 04:30",4175.125,12.2,TRADE
VIC1,"1999/11/01 05:00",4202.01,12.15,TRADE
VIC1,"1999/11/01 05:30",4390.33833,12.47,TRADE
VIC1,"1999/11/01 06:00",4627.155,19.48,TRADE
VIC1,"1999/11/01 06:30",4977.70833,29.92,TRADE
VIC1,"1999/11/01 07:00",5286.52167,30.87,TRADE
VIC1,"1999/11/01 07:30",5156.155,26.56,TRADE
VIC1,"1999/11/01 08:00",5045.39167,16.08,TRADE
VIC1,"1999/11/01 08:30",5099.63333,18.49,TRADE
VIC1,"1999/11/01 09:00",5057.65833,13.92,TRADE
VIC1,"1999/11/01 09:30",5112.59333,16.89,TRADE
VIC1,"1999/11/01 10:00",5046.685,13.8,TRADE
VIC1,"1999/11/01 10:30",5093.79167,18.7,TRADE
VIC1,"1999/11/01 11:00",5096.995,23.7,TRADE
VIC1,"1999/11/01 11:30",5050.515,15.31,TRADE
VIC1,"1999/11/01 12:00",5072.205,13.91,TRADE
VIC1,"1999/11/01 12:30",5040.54333,13.72,TRADE
VIC1,"1999/11/01 13:00",5023.67333,13.58,TRADE
VIC1,"1999/11/01 13:30",5016.22333,13.49,TRADE
VIC1,"1999/11/01 14:00",4997.06,13.31,TRADE
VIC1,"1999/11/01 14:30",4968.35833,13.24,TRADE
VIC1,"1999/11/01 15:00",4994.925,13.48,TRADE
VIC1,"1999/11/01 15:30",4986.08333,13.44,TRADE
VIC1,"1999/11/01 16:00",5032.46667,13.69,TRADE
VIC1,"1999/11/01 16:30",5065.66333,13.76,TRADE
VIC1,"1999/11/01 17:00",5066.61833,13.97,TRADE
VIC1,"1999/11/01 17:30",5012.16833,14.03,TRADE
VIC1,"1999/11/01 18:00",4923.85833,13.94,TRADE
VIC1,"1999/11/01 18:30",4815.79,13.58,TRADE
VIC1,"1999/11/01 19:00",4784.565,13.6,TRADE
VIC1,"1999/11/01 19:30",4899.35833,14.01,TRADE
VIC1,"1999/11/01 20:00",4981.27167,14.09,TRADE
VIC1,"1999/11/01 20:30",4930.9,14.07,TRADE
VIC1,"1999/11/01 21:00",4792.235,13.92,TRADE
VIC1,"1999/11/01 21:30",4647.16,13.9,TRADE
VIC1,"1999/11/01 22:00",4531.65833,13.98,TRADE
VIC1,"1999/11/01 22:30",4497.63167,24.06,TRADE
VIC1,"1999/11/01 23:00",4463.35167,18.63,TRADE
VIC1,"1999/11/01 23:30",4932.38667,29.7,TRADE
VIC1,"1999/11/02 00:00",4967.12,30.31,TRADE
VIC1,"1999/11/02 00:30",4880.19333,26.76,TRADE
VIC1,"1999/11/02 01:00",4773.28,19.39,TRADE
VIC1,"1999/11/02 01:30",5044.905,24.9,TRADE
VIC1,"1999/11/02 02:00",4936.13833,19.38,TRADE
VIC1,"1999/11/02 02:30",4677.16167,13.84,TRADE
VIC1,"1999/11/02 03:00",4487.08333,13.74,TRADE
VIC1,"1999/11/02 03:30",4321.05,12.43,TRADE
VIC1,"1999/11/02 04:00",4236.69,12.26,TRADE
VIC1,"1999/11/02 04:30",4192.23333,12.28,TRADE
VIC1,"1999/11/02 05:00",4202.48833,12.14,TRADE
VIC1,"1999/11/02 05:30",4225.96833,12.12,TRADE
VIC1,"1999/11/02 06:00",4401.64833,17,TRADE
VIC1,"1999/11/02 06:30",4582.82333,19.89,TRADE
VIC1,"1999/11/02 07:00",4781.85667,22.18,TRADE
VIC1,"1999/11/02 07:30",4607.37333,16.98,TRADE
VIC1,"1999/11/02 08:00",4563.06167,12.81,TRADE
VIC1,"1999/11/02 08:30",4555.17167,15.53,TRADE
VIC1,"1999/11/02 09:00",4521.48667,12.54,TRADE
VIC1,"1999/11/02 09:30",4549.82667,13.09,TRADE
VIC1,"1999/11/02 10:00",4527.63,12.75,TRADE
VIC1,"1999/11/02 10:30",4510.86333,12.71,TRADE
VIC1,"1999/11/02 11:00",4532.105,12.5,TRADE
VIC1,"1999/11/02 11:30",4548.51167,12.59,TRADE
VIC1,"1999/11/02 12:00",4501.975,12.27,TRADE
VIC1,"1999/11/02 12:30",4471.535,12.23,TRADE
VIC1,"1999/11/02 13:00",4423.98833,12.47,TRADE
VIC1,"1999/11/02 13:30",4425.47833,12.84,TRADE
VIC1,"1999/11/02 14:00",4406.52,12.79,TRADE
VIC1,"1999/11/02 14:30",4398.42333,12.65,TRADE
VIC1,"1999/11/02 15:00",4345.85,12.31,TRADE
VIC1,"1999/11/02 15:30",4395.67667,12.63,TRADE
VIC1,"1999/11/02 16:00",4456.505,12.9,TRADE
VIC1,"1999/11/02 16:30",4498.89833,13,TRADE
VIC1,"1999/11/02 17:00",4529.285,13.3,TRADE
VIC1,"1999/11/02 17:30",4542.70333,13.1,TRADE
VIC1,"1999/11/02 18:00",4477.32167,12.63,TRADE
VIC1,"1999/11/02 18:30",4412.31333,12.15,TRADE
VIC1,"1999/11/02 19:00",4456.09167,12.91,TRADE
VIC1,"1999/11/02 19:30",4609.9,13.79,TRADE
VIC1,"1999/11/02 20:00",4776.22667,15.48,TRADE
VIC1,"1999/11/02 20:30",4661.57333,13.6,TRADE
VIC1,"1999/11/02 21:00",4578.90833,14.04,TRADE
VIC1,"1999/11/02 21:30",4446.405,12.69,TRADE
VIC1,"1999/11/02 22:00",4324.94667,13.03,TRADE
VIC1,"1999/11/02 22:30",4248.21833,14.25,TRADE
VIC1,"1999/11/02 23:00",4240.19167,13.64,TRADE
VIC1,"1999/11/02 23:30",4768.35,22.74,TRADE
VIC1,"1999/11/03 00:00",4791.545,19.27,TRADE
VIC1,"1999/11/03 00:30",4739.01333,18.57,TRADE
VIC1,"1999/11/03 01:00",4598.07833,15.62,TRADE
VIC1,"1999/11/03 01:30",4917.27167,18.93,TRADE
VIC1,"1999/11/03 02:00",4810.205,14.65,TRADE
VIC1,"1999/11/03 02:30",4651.01667,15.83,TRADE
VIC1,"1999/11/03 03:00",4467.45833,12.82,TRADE
VIC1,"1999/11/03 03:30",4319.11167,12.12,TRADE
VIC1,"1999/11/03 04:00",4254.58,12.12,TRADE
VIC1,"1999/11/03 04:30",4265.96667,11.93,TRADE
VIC1,"1999/11/03 05:00",4372.15167,12.93,TRADE
VIC1,"1999/11/03 05:30",4617.18833,14.76,TRADE
VIC1,"1999/11/03 06:00",4972.47667,20.65,TRADE
VIC1,"1999/11/03 06:30",5502.445,29.76,TRADE
VIC1,"1999/11/03 07:00",5811.28667,37.04,TRADE
VIC1,"1999/11/03 07:30",5587.93667,31.7,TRADE
VIC1,"1999/11/03 08:00",5534.315,31.57,TRADE
VIC1,"1999/11/03 08:30",5520.035,25.38,TRADE
VIC1,"1999/11/03 09:00",5541.765,24.64,TRADE
VIC1,"1999/11/03 09:30",5541.37833,17.99,TRADE
VIC1,"1999/11/03 10:00",5557.505,17.46,TRADE
