REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"1999/12/01 00:30",5073.85167,18.59,TRADE
VIC1,"1999/12/01 01:00",4871.155,16.16,TRADE
VIC1,"1999/12/01 01:30",5154.10833,22.2,TRADE
VIC1,"1999/12/01 02:00",5015.34167,15.22,TRADE
VIC1,"1999/12/01 02:30",4762.15833,13.83,TRADE
VIC1,"1999/12/01 03:00",4559.52833,13.77,TRADE
VIC1,"1999/12/01 03:30",4439.805,13.41,TRADE
VIC1,"1999/12/01 04:00",4401.56,12.86,TRADE
VIC1,"1999/12/01 04:30",4445.07667,13.58,TRADE
VIC1,"1999/12/01 05:00",4569,13.44,TRADE
VIC1,"1999/12/01 05:30",4871.47667,17.7,TRADE
VIC1,"1999/12/01 06:00",5205.64667,19.35,TRADE
VIC1,"1999/12/01 06:30",5628.775,22.51,TRADE
VIC1,"1999/12/01 07:00",5930.89833,29.37,TRADE
VIC1,"1999/12/01 07:30",5911.8,31.28,TRADE
VIC1,"1999/12/01 08:00",6036.7,31.62,TRADE
VIC1,"1999/12/01 08:30",6170.535,33.36,TRADE
VIC1,"1999/12/01 09:00",6316.68,45.49,TRADE
VIC1,"1999/12/01 09:30",6379.39,47.71,TRADE
VIC1,"1999/12/01 10:00",6490.66333,51.33,TRADE
VIC1,"1999/12/01 10:30",6603.42,52.16,TRADE
VIC1,"1999/12/01 11:00",6679.205,55.51,TRADE
VIC1,"1999/12/01 11:30",6689.025,58.01,TRADE
VIC1,"1999/12/01 12:00",6727.71333,57.63,TRADE
VIC1,"1999/12/01 12:30",6848.425,62.14,TRADE
VIC1,"1999/12/01 13:00",6901.81333,65.5,TRADE
VIC1,"1999/12/01 13:30",7014.16667,66.5,TRADE
VIC1,"1999/12/01 14:00",7006.58167,67.2,TRADE
VIC1,"1999/12/01 14:30",6972.61167,57.59,TRADE
VIC1,"1999/12/01 15:00",6794.465,49.35,TRADE
VIC1,"1999/12/01 15:30",7150.205,62.11,TRADE
VIC1,"1999/12/01 16:00",7207.41167,54.79,TRADE
VIC1,"1999/12/01 16:30",7194.52167,50.44,TRADE
VIC1,"1999/12/01 17:00",7077.31833,48.23,TRADE
VIC1,"1999/12/01 17:30",6809.51333,37.43,TRADE
VIC1,"1999/12/01 18:00",6658.325,35.53,TRADE
VIC1,"1999/12/01 18:30",6464.24667,31.95,TRADE
VIC1,"1999/12/01 19:00",6261.20167,30.48,TRADE
VIC1,"1999/12/01 19:30",6211.85167,32.36,TRADE
VIC1,"1999/12/01 20:00",6216.10667,31.52,TRADE
VIC1,"1999/12/01 20:30",6220.475,30.88,TRADE
VIC1,"1999/12/01 21:00",6015.65667,21.42,TRADE
VIC1,"1999/12/01 21:30",5783.82333,21.88,TRADE
VIC1,"1999/12/01 22:00",5461.19,18.29,TRADE
VIC1,"1999/12/01 22:30",5258.27333,19.07,TRADE
VIC1,"1999/12/01 23:00",5117.365,20.17,TRADE
VIC1,"1999/12/01 23:30",5607.22167,37.81,TRADE
VIC1,"1999/12/02 00:00",5489.88167,27.96,TRADE
VIC1,"1999/12/02 00:30",5227.6,22.74,TRADE
VIC1,"1999/12/02 01:00",5018.09333,18.14,TRADE
VIC1,"1999/12/02 01:30",5264.71,21.89,TRADE
VIC1,"1999/12/02 02:00",5127.79,15.98,TRADE
VIC1,"1999/12/02 02:30",4846.25833,14.63,TRADE
VIC1,"1999/12/02 03:00",4653.86667,13.69,TRADE
VIC1,"1999/12/02 03:30",4542.07167,13.27,TRADE
VIC1,"1999/12/02 04:00",4510.21667,13.21,TRADE
VIC1,"1999/12/02 04:30",4599.855,13.82,TRADE
VIC1,"1999/12/02 05:00",4732.63333,14.42,TRADE
VIC1,"1999/12/02 05:30",5012.01,21.91,TRADE
VIC1,"1999/12/02 06:00",5352.29833,21.32,TRADE
VIC1,"1999/12/02 06:30",5783.33667,21.51,TRADE
VIC1,"1999/12/02 07:00",6136.77167,28.95,TRADE
VIC1,"1999/12/02 07:30",6165.28667,32.4,TRADE
VIC1,"1999/12/02 08:00",6281.395,32.49,TRADE
VIC1,"1999/12/02 08:30",6495.78,43.44,TRADE
VIC1,"1999/12/02 09:00",6599.61667,48.84,TRADE
VIC1,"1999/12/02 09:30",6620.6,48.33,TRADE
VIC1,"1999/12/02 10:00",6685.62667,45.54,TRADE
VIC1,"1999/12/02 10:30",6942.07667,49.66,TRADE
VIC1,"1999/12/02 11:00",7058.67667,50.2,TRADE
VIC1,"1999/12/02 11:30",7075.24333,50.04,TRADE
VIC1,"1999/12/02 12:00",7153.155,50.34,TRADE
VIC1,"1999/12/02 12:30",7282.06167,53.22,TRADE
VIC1,"1999/12/02 13:00",7315.79667,51.65,TRADE
VIC1,"1999/12/02 13:30",7351.258,48.3,TRADE
VIC1,"1999/12/02 14:00",7313.07833,43.75,TRADE
VIC1,"1999/12/02 14:30",7380.37167,51.43,TRADE
VIC1,"1999/12/02 15:00",7427.445,54.69,TRADE
VIC1,"1999/12/02 15:30",7494.81333,65.06,TRADE
VIC1,"1999/12/02 16:00",7527.34,64.33,TRADE
VIC1,"1999/12/02 16:30",7476.13667,54.1,TRADE
VIC1,"1999/12/02 17:00",7404.37833,56.48,TRADE
VIC1,"1999/12/02 17:30",7183.62,43.24,TRADE
VIC1,"1999/12/02 18:00",6953.56,37.24,TRADE
VIC1,"1999/12/02 18:30",6736.71167,32.67,TRADE
VIC1,"1999/12/02 19:00",6595.32333,31.68,TRADE
VIC1,"1999/12/02 19:30",6542.925,34.15,TRADE
